13246,45
13236,42
13287,07
12964,68
12989,29
13140,57
13054,8
13166,58
13105,61
13070,72
13146,74
13221,64
13282,72
13407,66
13287,83
13222,16
13211,96
13318,9
13300,98
13337,11
13249,01
13385,93
13219,14
13126,99
13226,83
13320,18
13495,06
13483,31
13451,52
13456,49
13432,3
13429,43
13526,13
13555,87
13515,75
13388,42
13576,68
13204,77
13323,69
13345,0
13157,12
12981,97
13045,19
13281,74
13478,33
13574,82
13513,81
13494,03
13627,84
13749,78
13745,43
13744,21
13681,19
13789,0
13664,0
13579,33
13035,24
12790,49
12774,88
12367,46
11890,35
11857,87
11985,39
12127,69
11944,72
11541,87
10625,02
10475,49
10438,68
9161,13
